game_id|game_date|visit_id|home_id|visit_scores|home_scores|attendance|officials
1797118|11/05/2019 08:00 PM|487275|486946|['18', '22', '40']|['37', '42', '79']|2831|['Brad Yorkovich', 'James Durham', 'Darron  Geirge']
1797138|11/05/2019 08:00 PM|486753|486677|['29', '37', '66']|['64', '42', '106']|5638|['James Hicks', 'David Carter', 'Cedric Coleman']
1797144|11/05/2019 08:00 PM|486690|486700|['35', '42', '77']|['39', '40', '79']|2412|['Brian McAnally', 'Scott  Tierney', 'Ed Chenshaw']
1797147|11/05/2019 08:00 PM|487424|486662|['18', '30', '48']|['36', '40', '76']|4049|['Chris Fuller', 'Steve Divine', 'Gene Grimshaw']
1797151|11/05/2019 08:00 PM|486930|486718|['25', '29', '54']|['31', '37', '68']|10056|['Toby Martinez', 'Jose Carrion', 'Patrick Evans']
1797154|11/05/2019 08:00 PM|486892|486898|['15', '38', '53']|['44', '44', '88']|13103|['Clarence  Armstrong', 'Earl Walton', 'Pat Driscoll']
1797155|11/05/2019 08:00 PM|486914|486871|['33', '41', '74']|['56', '54', '110']|13744|['Craig Murley', 'Rodrick Dixon', 'Gary Maxwell']
1797159|11/05/2019 08:00 PM|486981|486764|['19', '24', '43']|['39', '52', '91']|17274|['Robert Felder', 'Gerald Williams', 'K.B. Burdett Jr.']
1797161|11/05/2019 08:00 PM|486654|486905|['32', '32', '64']|['50', '47', '97']|16002|['Keith Patterson', 'Zelton Steed', 'Bart Lenox']
1797163|11/05/2019 08:00 PM|491172|486974|['32', '30', '62']|['55', '45', '100']|2202|[]
1797164|11/05/2019 08:00 PM|487627|486947|['13', '28', '41']|['38', '26', '64']|2498|['Troy Mathis', 'Landon Brandes', 'Rick Randall']
1797166|11/05/2019 08:00 PM|486874|486664|['24', '41', '65']|['31', '43', '74']|4010|['Kevin Raher', 'Nathan Bemis', 'Pat Adams']
1797168|11/05/2019 08:00 PM|487607|486723|['25', '37', '62']|['34', '38', '72']|1156|['Bryan Anslinger', 'Bryan Washer', 'Peter Juzenas']
1797175|11/05/2019 08:00 PM|491676|486866|['27', '45', '72']|['40', '35', '75']|2003|['Brian Shore', 'Shane Staggs', 'Matt Morales']
1797176|11/05/2019 08:00 PM|486806|486912|['21', '29', '50']|['38', '47', '85']|8693|['Brian McNutt', 'Rob Riley', 'Paul Szelc']
1797180|11/05/2019 08:00 PM|486765|486668|['33', '34', '67']|['39', '27', '66']|5002|['Jeff Campbell', 'John St. Clair', 'Tommy Johnson']
1797181|11/05/2019 08:00 PM|486830|486685|['31', '29', '60']|['46', '39', '85']|15098|['Chance Moore', 'Kelly Self', 'Gerry Pollard']
1797184|11/05/2019 08:00 PM|490072|486670|['30', '37', '67']|['44', '51', '95']|3504|['Matt Jarman', 'Lucas  Santos', 'Brent Dugas']
1797187|11/05/2019 08:00 PM|486962|486952|['25', '28', '53']|['26', '32', '58']|3705|[]
1797188|11/05/2019 08:00 PM|486944|486877|['22', '32', '54']|['21', '46', '67']|8145|['Chris Pacsi', 'Jeb Hartness', 'Keith Kimble']
1797192|11/05/2019 08:00 PM|486950|486687|['15', '30', '45']|['34', '35', '69']|8208|['Kerby Sitton', 'Bret Smith', 'Ray Natili']
1797193|11/05/2019 08:00 PM|486967|486656|['32', '25', '57']|['35', '35', '70']|1704|['Pete Larson', 'Luke Chittum', 'Frank Spencer']
1797198|11/05/2019 08:00 PM|486839|486913|['30', '39', '69']|['40', '37', '77']|6230|['Stephen Orkus Jr.', 'Jason Baker', 'Don Daily']
1797225|11/05/2019 08:05 PM|486793|486894|['22', '26', '48']|['39', '43', '82']|3244|"[""Tom O'Neill"", 'Greg Rennegarbe', 'Boyd Copeland']"
1797229|11/05/2019 08:30 PM|487103|486663|['22', '30', '52']|['34', '27', '61']|902|['Drew Larson', 'Cody Crum', 'Kevin Charles Drive']
1797253|11/05/2019 08:30 PM|486696|486703|['26', '28', '54']|['49', '48', '97']|6501|['Justin Porterfield', 'Leslie Jones', 'Jeffery Clark']
1797233|11/05/2019 08:30 PM|487644|486669|['18', '27', '45']|['57', '46', '103']|2752|['Landen Cammack', 'Ross Cullins', 'Tim Gattis']
1797236|11/05/2019 08:30 PM|490920|486751|['12', '27', '39']|['47', '43', '90']|1439|['Anthony Thomas', 'Nick Atwood', 'Mike Thornton']
1797252|11/05/2019 08:30 PM|486849|486943|['35', '40', '7', '82']|['42', '33', '6', '81']|17133|['Brent Hampton', 'Brian Dorsey', 'Jamie  Luckie']
1797121|11/05/2019 08:30 PM|487179|486767|['35', '32', '67']|['56', '54', '110']|1360|['Josh Pitto', 'Tavares Armour', 'Brett Miles']
1797230|11/05/2019 08:30 PM|490611|486739|['32', '17', '49']|['53', '49', '102']|785|"[""Mike O'Neill"", 'Dan Dorian', 'Dan Nowakowski']"
1797131|11/05/2019 09:00 PM|486786|486965|['27', '30', '57']|['38', '33', '71']|6779|['Mike Reed', 'Verne Harris', 'David Hall']
1797110|11/05/2019 09:00 PM|486787|486778|['24', '34', '58']|['38', '38', '76']|11116|['Michael Rapp', 'Brady Chelette', 'Tom Nally']
1797142|11/05/2019 09:00 PM|486822|486809|['26', '37', '63']|['34', '40', '74']|2322|['Brad Ferrie', 'Casey McClellan', 'Bill Vinovich']
1797143|11/05/2019 09:00 PM|487288|486733|['35', '47', '82']|['28', '45', '73']|7074|['Kevin Virginillo', 'Daryl Gelinas', 'Jon Stigliano']
1797158|11/05/2019 09:00 PM|490927|486667|['31', '35', '66']|['62', '48', '110']|2087|['Justin Shamion', 'Brad Fowler', 'Ryan McDaniel']
1797185|11/05/2019 09:00 PM|487285|486749|['26', '29', '55']|['35', '37', '72']|2091|['Riel Banaria', 'Toby Doolittle', 'Jeff Wooten']
1797200|11/05/2019 09:00 PM|487191|486688|['24', '46', '70']|['44', '49', '93']|3738|['Kerry Sitton', 'Jeff Malham', 'Ryan McCarty']
1797209|11/05/2019 09:00 PM|487304|486935|['16', '30', '46']|['52', '40', '92']|5066|['Joe Wilburt III', 'Art Brown', 'Ronnie Hernandez']
1797218|11/05/2019 09:00 PM|486862|486725|['18', '22', '40']|['21', '33', '54']|3010|['Gregory Nixon', 'Larry Spaulding', 'Brent Meaux']
1797112|11/05/2019 09:00 PM|486847|486766|['37', '37', '74']|['41', '42', '83']|8702|['Chris Ford', 'Will Howard', 'Todd Austin']
1797240|11/05/2019 09:00 PM|486734|486815|['31', '24', '55']|['39', '42', '81']|16321|['Kipp Kissinger', 'Tommy Morrissey', 'Lamar Simpson']
1797245|11/05/2019 09:00 PM|486758|486819|['26', '28', '54']|['45', '27', '72']|3483|['Wally Rutecki Jr.', 'Tony Chiazza', 'Jeffrey Anderson']
1797250|11/05/2019 09:00 PM|486796|486929|['32', '34', '66']|['28', '19', '47']|15745|['Steve Honacki', 'Chris Beaver', 'Lamont  Simpson']
1797251|11/05/2019 09:00 PM|486993|486722|['30', '24', '11', '65']|['24', '30', '9', '63']|3301|['Kelly Pfeifer', 'Eric Curry', 'John Higgins']
1797133|11/05/2019 09:05 PM|490553|486833|['12', '13', '25']|['52', '55', '107']|1050|['Ray Ames', 'Courtney Holmes', 'Gregg Morstein']
1797254|11/05/2019 09:30 PM|486988|486842|['30', '29', '59']|['30', '38', '68']|3200|['JW Lucas', 'Louie Andrakakos', 'Alfred Smith']
1797255|11/05/2019 09:30 PM|486909|486880|['24', '38', '62']|['34', '35', '69']|19812|['Larry Scirotto', 'Terry Oglesly', 'Joe Lindsay']
1797191|11/05/2019 10:00 PM|487636|486736|['23', '41', '64']|['47', '51', '98']|828|['Derek Anganes', 'Levon Zakarian', 'Nate Harris']
1797195|11/05/2019 10:00 PM|490901|486893|['25', '37', '62']|['48', '57', '105']|905|[]
1797206|11/05/2019 10:00 PM|486970|486792|['37', '34', '71']|['35', '52', '87']|3780|['Tom Spitznagel', 'Michael Greenstein', 'Tommy Nunez']
1797211|11/05/2019 10:00 PM|487581|486973|['16', '20', '36']|['49', '37', '86']|1234|['Travis Schatzmen', 'Dennis Flannery', 'Jimmy Casa']
1797212|11/05/2019 10:00 PM|487349|486649|['32', '20', '52']|['52', '45', '97']|1420|['Nik Caruthers', 'Ken Ditty', 'Ron Brokenbrough']
1797217|11/05/2019 10:00 PM|486869|486931|['23', '48', '71']|['39', '47', '86']|7728|['Jim Schipper', 'Frank Harvey', 'Deron White']
1797223|11/05/2019 10:00 PM|487027|486966|['25', '22', '47']|['35', '34', '69']|2802|['Ryan Holmes', 'Tim Marion', 'Horace Shields']
1797183|11/05/2019 10:00 PM|486794|486998|['34', '42', '76']|['48', '25', '73']|1517|['Matthew Rukasin', 'Bob Staffen', 'Chris Rastatter']
1797123|11/05/2019 10:00 PM|491195|486863|['38', '44', '82']|['43', '45', '88']|905|['Ian Caldwell', 'Scott DeBo', 'Donn Berdahl']
1797120|11/05/2019 10:00 PM|487117|486999|['23', '27', '50']|['49', '52', '101']|1002|['Johnny  Harrington', 'Klaus Endrissat', 'Sam Haddad']
1797119|11/05/2019 10:00 PM|486684|486997|['13', '29', '42']|['48', '29', '77']|10093|['Crystal Hogan', 'James Ford', 'Mike Scyphers']
1797248|11/05/2019 10:00 PM|486918|486698|['34', '39', '73']|['37', '44', '81']|7331|['Winston Stith', 'Rob Kruger', 'Brad Gaston']
1797113|11/05/2019 10:00 PM|491143|486773|['23', '26', '49']|['69', '57', '126']|2884|['Shawn Lehigh', 'Glen Mayberry', 'Doran Gotschall']
1797227|11/05/2019 10:30 PM|486699|486932|['37', '42', '79']|['32', '42', '74']|8324|['Kevin Brill', 'Tony Padilla', 'Randy McCall']
1797237|11/05/2019 10:30 PM|487237|486785|['26', '25', '51']|['46', '57', '103']|2007|['Melvin Landry', 'Martin Cichocki', 'Mark Fulton']
1797238|11/05/2019 10:35 PM|487503|486972|['28', '41', '69']|['54', '40', '94']|856|['Dan Church', 'Michael Cheatham', 'Doug Sturdivan']
1797241|11/05/2019 11:00 PM|486789|486964|['31', '36', '67']|['45', '42', '87']|3422|['Randy Richardson', 'Scott Brown', 'Rick Batsell']
1797244|11/05/2019 11:00 PM|486837|486661|['23', '25', '48']|['24', '53', '77']|3021|['John Paul Guerrero', 'Juan Corral', 'Jeff Ketchu']
