team_id|team_short_name|team_long_name
490550|[]|[]
486790|['Sacramento St.']|['Sacramento St. Hornets']
486761|['Arizona St.']|['Arizona St. Sun Devils']
486810|['Colorado']|['Colorado Buffaloes']
486856|['Hawaii']|['Hawaii Rainbow Warriors']
486804|['The Citadel']|['The Citadel Bulldogs']
487671|['SUNY Poly']|['SUNY Poly Wildcats']
487416|['Heidelberg']|['Heidelberg The Student Prince']
486907|['Miami (OH)']|['Miami (OH) RedHawks']
486942|['N.C. Central']|['N.C. Central Eagles']
486800|['UCF']|['UCF Knights']
487045|['Edinboro']|['Edinboro Fighting Scots']
486870|['Iona']|['Iona Gaels']
486881|['La Salle']|['La Salle Explorers']
486798|['Canisius']|['Canisius Golden Griffins']
487008|['Angelo St.']|['Angelo St. Rams']
486860|['Houston']|['Houston Cougars']
491399|[]|[]
486867|['Indiana St.']|['Indiana St. Sycamores']
486818|['Dayton']|['Dayton Flyers']
487404|['Gettysburg']|['Gettysburg Bullets']
486757|['Albany (NY)']|['Albany (NY) Great Danes']
487590|['Wis.-Stout']|['Wis.-Stout Blue Devils']
486834|['Evansville']|['Evansville Purple Aces']
486923|['Murray St.']|['Murray St. Racers']
490974|[]|[]
486823|['Detroit Mercy']|['Detroit Mercy Titans']
490811|[]|[]
487564|['Washington Col.']|['Washington Col. Shoremen']
491793|[]|[]
491326|[]|[]
487472|['Nazareth']|['Nazareth Golden Flyers']
487699|['Farmingdale St.']|['Farmingdale St. Rams']
487600|['Anderson (IN)']|['Anderson (IN) Ravens']
487329|['Averett']|['Averett Cougars']
491150|[]|[]
491129|[]|[]
487656|['Howard Payne']|['Howard Payne Yellow Jackets']
486896|['Manhattan']|['Manhattan Jaspers']
487458|['UMass Boston']|['UMass Boston Beacons']
487569|['Wesley']|['Wesley Wolverines']
490513|[]|[]
487637|['Cairn']|['Cairn Highlanders']
490761|[]|[]
490051|[]|[]
487668|['Wis. Lutheran']|['Wis. Lutheran Warriors']
491339|[]|[]
487371|['Colorado Col.']|['Colorado Col. Tigers']
491679|[]|[]
487657|['Pacific (OR)']|['Pacific (OR) Boxers']
487525|"[""St. Mary's (MD)""]"|"[""St. Mary's (MD) Seahawks""]"
487535|['Shenandoah']|['Shenandoah Hornets']
486978|['Quinnipiac']|['Quinnipiac Bobcats']
487277|['UVa-Wise']|['UVa-Wise Highland Cavaliers']
490701|[]|[]
487186|['Southwest Baptist']|['Southwest Baptist Bearcats']
491159|[]|[]
490552|[]|[]
487155|['Fairmont St.']|['Fairmont St. Falcons']
487092|['New York Tech']|[]
487506|['Randolph']|['Randolph WildCats']
487716|['NVU-Lyndon']|['NVU-Lyndon Hornets']
487279|['Southern Wesleyan']|['Southern Wesleyan Warriors']
491761|[]|[]
487197|['Georgian Court']|['Georgian Court Lions']
487615|['Gordon']|['Gordon Fighting Scots']
487187|['Western Colo.']|['Western Colo. Mountaineers']
487516|['Rockford']|['Rockford Regents']
487230|['Palm Beach Atl.']|['Palm Beach Atl. Sailfish']
